# Input file to define bodies
# name, mass, pos0, pos1, pos2, vel0, vel1, vel2
M1, 1, -0.97000436,  0.24308753, 0, -0.466203685, -0.43236573, 0
M2, 1,  0.97000436, -0.24308753, 0, -0.466203685, -0.43236573, 0
M3, 1, -0.0       ,  0.0       , 0,  0.932407370,  0.86473146, 0
